STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,ACTIVITY,,SIZE_CLASS,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,OBS_STATUS_2,,OBS_STATUS_3,,UNIT_MULT,,TIME_HORIZON_USE,,DECIMALS,,BREAKDOWN_V7,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,FRA,,A,,A3F_B,,PT_ENT,,_T,,S_GE10,,2024,,25.508399999999998,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,FRA,,A,,G14_B,,PT_ENT,,_T,,S_GE10,,2024,,9.908999999999999,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,GBR,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2010,,15.063799999999999,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,H1_B,,PT_ENT,,_T,,S_GE10,,2019,,12.1,,B,,D,,,,0,,L_3,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,CAN,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2019,,25.03,,B,,D,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G14_B,,PT_ENT,,_T,,S_GE10,,2020,,2.69048062009295,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,G14_B,,PT_ENT,,_T,,S_GE10,,2021,,2.65115089143679,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,GBR,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2014,,23.9665,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,JPN,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2021,,4.789917946,,B,,D,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,JPN,,A,,G7_B,,PT_ENT,,_T,,S_GE10,,2019,,5.311520576,,B,,D,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,JPN,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2019,,20.93404388,,B,,D,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,USA,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2018,,44.29308355,,B,,D,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,FRA,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2021,,32.1887,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,FRA,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2021,,29.3512,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,FRA,,A,,A3F_B,,PT_ENT,,_T,,S_GE10,,2021,,22.3029,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,DEU,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2021,,44.5772,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2013,,61.29750892975895,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,KOR,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2012,,60.124317361102754,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,DEU,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2010,,42.9435,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,GBR,,A,,B1_B,,PT_ENT,,_T,,S_GE10,,2010,,75.69890000000001,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,DEU,,A,,G14_B,,PT_ENT,,_T,,S_GE10,,2023,,11.5525,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,DEU,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2023,,47.0007,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,FRA,,A,,G3_B,,PT_ENT,,_T,,S_GE10,,2014,,11.906500000000001,,A,,,,,,0,,,,2,,BUS_TOTAL,
DATAFLOW,OECD.STI.DEP:DSD_ICT_B@DF_BUSINESSES(1.0),,I,FRA,,A,,C3B_B,,PT_ENT,,_T,,S_GE10,,2014,,25.0278,,A,,,,,,0,,,,2,,BUS_TOTAL,
