知识产权 :专利

标志：4c-有关人工智能的专利公布

数据来源: 世界知识产权组织统计数据库; 最近更新: 2026年一月

来源地,来源地 (代码),主管局,2020,2021,2022,2023,2024
"阿拉伯联合酋长国","AE","总量","8","13","9","","",
"大韩民国","KR","总量","8000","7741","7944","","",
"德国","DE","总量","1199","1093","1004","","",
"法国","FR","总量","630","557","584","","",
"加拿大","CA","总量","489","415","388","","",
"联合王国","GB","总量","706","684","629","","",
"美国","US","总量","18748","18102","17559","","",
"日本","JP","总量","11989","11080","9591","","",
"印度","IN","总量","180","132","116","","",
"中国","CN","总量","20466","22810","24707","","",
