"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1399","6963","12274","13953","15996","18396","18800","19217","","","19200","19200","19000","","","","19000","19000","19000","18847","","",
"Africa Eastern and Southern","AFE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","195606","417125","530556","609715","700598","1002607","1336066","1694910","2572220","3123787","3100000","3100000","3200000","3500000","4100000","4000000","4000000","5000000","6000000","8000000",
"Afghanistan","AFG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","200","220","500","500","500","1000","1500","","1500","1500","1500","7067","8801","9182","15999","19683","26570","26570","32313","33200","",
"Africa Western and Central","AFW","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25547","","141153","191510","246893","342842","","400964","399466","489777","600000","1000000","1000000","1100000","1200000","2000000","2000000","2000000","2000000","3000000",
"Angola","AGO","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7458","11700","15942","15000","15000","15817","20512","22282","87750","153571","84724","96919","109561","119068","121516","134996","137800","137323","",
"Albania","ALB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","272","","10000","64000","92000","105539","128210","160088","182556","207964","242870","266379","303612","361947","436192","508937","559394","585285","632759","",
"Andorra","AND","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1148","3601","6282","10341","14616","18526","20672","22941","24502","25763","26905","27734","28770","30694","32490","34284","35663","36358","37650","39399","40813","41835","",
"Arab World","ARB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","365937","861800","1545499","2811961","4235468","5845325","7123797","8570787","10323586","8880291","10801834","18081304","20019879","28218281","30067212","33094284","38885350","44448240","46115501","","",
"United Arab Emirates","ARE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","367","1973","8374","16632","30327","56146","129320","240620","379800","557577","690424","786818","866968","954988","1041930","1091760","1234450","1297590","2761830","3024570","3045960","3245120","3573060","3774060","3947870","",
"Argentina","ARG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94000","148000","258849","542879","926722","1583710","2600000","3114740","3511030","4028240","4572020","5148580","6251020","6519460","6855840","7251670","7842780","8473660","8793180","9571560","10489800","11208100","11547700","",
"Armenia","ARM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","8","10","1000","1990","","3900","13799","39888","93586","160573","212053","243058","272885","286319","299170","315319","347448","385704","430407","466621","510781","545876","",
"American Samoa","ASM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1662","5801","1541","2266","4986","16014","7119","6000","13070","15647","10754","10000","9261","9000","","8000","8000","8000","9917","","",
"Australia","AUS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","122800","258100","516800","1012000","2016000","3900000","","5315000","5221000","5510000","5552000","5735000","5981000","6536000","6828000","7374000","7922000","8427320","8802600","9099620","9301740","9535410","9682370","",
"Austria","AUT","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50900","190500","320600","451000","601000","870000","1174000","1432000","1622000","1729000","1878520","2050400","2097700","2130200","2232500","2359000","2455500","2523300","2511400","2521200","2518900","2606000","2623200","2649990","2681840","",
"Azerbaijan","AZE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","","","2184","3955","14600","60000","100000","475295","973869","1369590","1712180","1898070","1899460","1803660","1805210","1890910","1943010","1995470","2055650","2096700","2154700","",
"Burundi","BDI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","160","160","352","497","702","1534","1700","2771","3245","3914","3935","3891","4230","3953","4005","2785","",
"Belgium","BEL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10900","23000","144215","460011","815418","1242930","1619940","2010580","2451590","2729620","2982500","3153260","3373140","3543760","3692010","3828920","4011200","4121050","4270310","4378970","4502950","4590710","4734210","4977990","5071840","5118840","",
"Benin","BEN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","21","81","196","1498","710","8424","19061","27034","37535","41761","42477","45419","73263","22298","28615","27034","25435","29981","20679","21062","24113","",
"Burkina Faso","BFA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","145","154","384","1715","6732","10266","11947","13705","14063","14328","12962","5408","9354","12384","12361","13818","12015","13979","16291","15060","","",
"Bangladesh","BGD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43710","50000","316699","414569","468500","600461","1525330","3093170","4892940","6592400","7300500","8052890","8085500","10052800","11136700","12145200","13533000","",
"Bulgaria","BGR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6651","165469","384672","629076","843552","998035","1124720","1256800","1331750","1421550","1480890","1614540","1697590","1796680","1903950","2014770","2115060","2253590","2386790","2516050","",
"Bahrain","BHR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1176","4980","9737","14956","21432","38628","68253","93618","139513","154912","291521","295387","300056","287572","253041","232385","194163","126316","140992","151013","247878","276062","269327","",
"Bahamas, The","BHS","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4139","7540","10941","12803","13382","16591","20500","25500","31589","24702","15496","77930","72490","77168","81018","85128","86868","81208","82295","83000","82217","84022","95132","",
"Bosnia and Herzegovina","BIH","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","68","213","1500","6637","13702","40000","84691","188460","292113","390902","430247","469397","516104","542405","634987","662468","700347","716366","745887","770424","797893","875521","907951","",
"Belarus","BLR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","123","750","1564","11419","169806","477980","1092290","1666630","2098070","2531840","2785840","2684350","2903500","3067530","3163290","3201520","3214870","3255550","3238880","3125060","3198980","",
"Belize","BLZ","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","940","2827","5022","7245","7480","8047","8340","8915","9698","9973","9900","9900","17379","18374","19006","24658","29600","36000","36000","39282","","",
"Bermuda","BMU","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18487","23643","28799","33955","40000","40100","","","40100","34731","30000","22797","22808","","23000","23000","23000","23038","","",
"Bolivia","BOL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3330","5740","8723","12973","17589","33977","79314","96134","95948","73542","116708","154098","172783","180951","287589","379996","504097","746872","931918","1127570","1328190","","",
"Brazil","BRA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1000","7000","100000","331000","731000","966252","3157470","3233800","4767010","7609450","10016900","11730000","14100900","17833100","19119600","21360600","23968400","25482500","26860800","28907900","31233000","32907000","36344700","41567100","44066400","47336100","",
"Barbados","BRB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27319","29630","31942","38800","47133","49216","57305","56190","62634","66884","67798","77730","78269","86887","89340","89340","106803","128000","102564","105825","","",
"Brunei Darussalam","BRN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1896","2757","3838","6262","8126","8964","11617","16891","20029","21699","23185","19849","27557","30259","34425","36120","41072","49452","54195","71078","79417","90186","92763","",
"Bhutan","BTN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2060","3378","8675","13233","16766","20481","24979","27874","16489","16707","10802","8774","3189","2827","4934","10371","",
"Botswana","BWA","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1600","1800","3540","8900","10000","11978","19125","22236","21590","33290","36845","59057","32434","40044","49044","84842","133241","110574","84577","",
"Central African Republic","CAF","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","810","605","","","1858","736","619","608","499","","499","820","","",
"Canada","CAN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","140000","582000","1410930","2836000","3515000","4513000","5416000","7004000","8044000","9075320","9842300","10290000","10817100","11282600","11689900","12094500","12568000","13115400","13386500","13923800","14445600","15142200","15572200","16032700","16374500","16711600","",
"Central Europe and the Baltics","CEB","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84220","401560","951335","2170796","3816909","8258932","12147445","14208640","16763026","18051843","20208640","20882334","21977753","22715875","23363768","24120554","25143985","26151133","27181007","28406882","29649272","30906039","","",
"Switzerland","CHE","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56416","140000","455220","783874","1227400","1669220","2050180","2380590","2556300","2741200","2913520","3078340","3212370","3438090","3535990","3700560","3775920","3916720","3883880","4023920","4016260","4174440","4103730","4230930","",
"Channel Islands","CHI","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7680","66723","188454","352234","478883","708564","1011650","1302310","1427180","1654680","1789360","2011240","2166330","2295170","2489720","2719440","2904580","3062390","3250890","3429670","3763830","4283130","4456170","4520630","",
"China","CHN","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22660","336280","3298490","11219000","24939600","37350000","50853000","66414000","82879000","103978000","126337000","156487000","175183000","188909000","200483000","277046000","322597000","394190000","407382000","449279000","483550000","535787000","589648000","636306000","",
"Cote d'Ivoire","CIV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","413","826","1239","10000","10000","10000","10000","","","46167","56281","126857","109707","136380","142825","175918","216723","261370","335041","380482","424902","",
"Cameroon","CMR","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","202","421","640","860","900","5954","10713","13846","16900","16831","20447","364781","382358","395813","400929","722579","601258","588198","","",
"Congo, Dem. Rep.","COD","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","450","500","1000","1000","1000","4620","11900","31000","31000","33000","23267","",
"Congo, Rep.","COG","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125","250","1311","1392","438","500","","","","","","","15137","26306","78398","",
"Colombia","COL","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8872","13830","34888","64436","127113","318683","628077","1207090","1772090","2114780","2643030","3348140","3938660","4537620","5028600","5525760","5912970","6331030","6678540","6949850","7764770","8434170","8799310","8913950","",
"Comoros","COM","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","4","","82","110","66","329","400","1233","1300","1583","1600","1634","1644","1531","1278","1188","1231","1830","3299","",
"Cabo Verde","CPV","Fixed broadband subscriptions","IT.NET.BBND","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","283","937","1814","3833","7380","10972","16071","21332","19853","21202","19076","16568","15541","14993","15657","20252","24839","30532","34135","37765","",
